Medicamento 	Dosis 	Presentación 	Marca 	Farmacía 	Precio 	Dirección 	Comuna 	Región
5782 	PRESTAT 	75 mg 	40 COMPRIMIDOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	10690 	Cordovez 510 	La Serena 	Coquimbo
5783 	PRESTAT 	150 mg 	40 COMPRIMIDOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	19990 	Cordovez 510 	La Serena 	Coquimbo
5784 	ADROXEF 	500 mg 	14 CÁPSULAS 	LABORATORIO CHILE S.A. 	Cruz Verde 	22990 	Cordovez 510 	La Serena 	Coquimbo
5785 	ADROXEF 	500 mg/5 ml 	100 ml SUSPENSIÓN ORAL 	LABORATORIO CHILE S.A. 	Cruz Verde 	27490 	Cordovez 510 	La Serena 	Coquimbo
5786 	SUBELAN XR 	75 mg 	30 CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	PHARMAVITA S.A. 	Cruz Verde 	26490 	Cordovez 510 	La Serena 	Coquimbo
5787 	LIPOTEN 	80 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMAVITA S.A. 	Cruz Verde 	27490 	Cordovez 510 	La Serena 	Coquimbo
5788 	CIPROFLOXACINO 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	1090 	Cordovez 510 	La Serena 	Coquimbo
5789 	AZITROMICINA 	500 mg 	3 COMPRIMIDOS RECUBIERTOS 	ASCEND LABORATORIES S.p.A. 	Cruz Verde 	1540 	Cordovez 510 	La Serena 	Coquimbo
5790 	CILOSVITAE 	100 mg 	28 COMPRIMIDOS 	GALENICUM HEALTH CHILE S.p.A. 	Cruz Verde 	19890 	Cordovez 510 	La Serena 	Coquimbo
5791 	LIPOX 	40 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	33990 	Cordovez 510 	La Serena 	Coquimbo
5792 	RITALIN LA 	10 mg 	30 CÁPSULAS CON GRÁNULOS DE LIBERACIÓN REPETIDA 	NOVARTIS CHILE S.A. 	Cruz Verde 	47890 	Cordovez 510 	La Serena 	Coquimbo
5793 	CETRAXAL 	0,3% 	10 ml SOLUCIÓN GOTAS OTICAS 	FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA. 	Cruz Verde 	12440 	Cordovez 510 	La Serena 	Coquimbo
5794 	ESC 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	17490 	Cordovez 510 	La Serena 	Coquimbo
5795 	LIPOTEN 	40 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMAVITA S.A. 	Cruz Verde 	25390 	Cordovez 510 	La Serena 	Coquimbo
5796 	LETICO 	50 mg 	30 COMPRIMIDOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	15750 	Cordovez 510 	La Serena 	Coquimbo
5797 	EBANTINA 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	19690 	Cordovez 510 	La Serena 	Coquimbo
5798 	EBANTINA 	10 mg 	60 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	27890 	Cordovez 510 	La Serena 	Coquimbo
5799 	IRBEVITAE 	150 mg 	28 COMPRIMIDOS RECUBIERTOS 	GALENICUM HEALTH CHILE S.p.A. 	Cruz Verde 	22190 	Cordovez 510 	La Serena 	Coquimbo
5800 	IRBEVITAE 	300 mg 	28 COMPRIMIDOS RECUBIERTOS 	GALENICUM HEALTH CHILE S.p.A. 	Cruz Verde 	22190 	Cordovez 510 	La Serena 	Coquimbo
5801 	SULIX 	 0,4 mg 	30 CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	11490 	Cordovez 510 	La Serena 	Coquimbo
5802 	SULIX 	 0,4 mg 	60 CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	23990 	Cordovez 510 	La Serena 	Coquimbo
5803 	SEDORAN 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	15990 	Cordovez 510 	La Serena 	Coquimbo
5804 	KREDIT 1000 	1000 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	31990 	Cordovez 510 	La Serena 	Coquimbo
5805 	MOXICINO 	400 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	28690 	Cordovez 510 	La Serena 	Coquimbo
5806 	DIAZEPAM 	10 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	690 	Cordovez 510 	La Serena 	Coquimbo
5807 	PREDNISONA 	 5 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	1190 	Cordovez 510 	La Serena 	Coquimbo
5808 	PERVIORAL 	500 mg 	10 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	16590 	Cordovez 510 	La Serena 	Coquimbo
5809 	PERVIORAL 	500 mg 	42 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	39890 	Cordovez 510 	La Serena 	Coquimbo
5810 	DEPRAX 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	18690 	Cordovez 510 	La Serena 	Coquimbo
5811 	ADAX 	 1 mg 	30 COMPRIMIDOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	16990 	Cordovez 510 	La Serena 	Coquimbo
5812 	ADAX 	 0,5 mg 	30 COMPRIMIDOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	14290 	Cordovez 510 	La Serena 	Coquimbo
5813 	CIPROVAL 	500 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	28090 	Cordovez 510 	La Serena 	Coquimbo
5814 	PANAGESIC 	500 mg 	10 COMPRIMIDOS 	CHEMOPHARMA S.A. 	Cruz Verde 	1590 	Cordovez 510 	La Serena 	Coquimbo
5815 	MACROSAN 	100 mg 	15 CÁPSULAS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	9140 	Cordovez 510 	La Serena 	Coquimbo
5816 	MACROSAN 	100 mg 	30 CÁPSULAS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	13190 	Cordovez 510 	La Serena 	Coquimbo
5817 	METFORMINA CLORHIDRATO 	850 mg 	30 COMPRIMIDOS RECUBIERTOS 	ASCEND LABORATORIES S.p.A. 	Cruz Verde 	2340 	Cordovez 510 	La Serena 	Coquimbo
5818 	METFORMINA CLORHIDRATO 	850 mg 	60 COMPRIMIDOS RECUBIERTOS 	ASCEND LABORATORIES S.p.A. 	Cruz Verde 	4740 	Cordovez 510 	La Serena 	Coquimbo
5819 	HALOPERIDOL 	 5 mg 	20 COMPRIMIDOS 	SYNTHON CHILE LTDA. 	Cruz Verde 	6890 	Cordovez 510 	La Serena 	Coquimbo
5820 	MACROSAN 	50 mg 	20 CÁPSULAS 	INSTITUTO SANITAS S.A. 	Cruz Verde 	6240 	Cordovez 510 	La Serena 	Coquimbo
5821 	METILDOPA 	250 mg 	20 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	3190 	Cordovez 510 	La Serena 	Coquimbo
5822 	IBUPROFENO 	600 mg 	20 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	1440 	Cordovez 510 	La Serena 	Coquimbo
5823 	PRESTAT 	 50 mg 	40 COMPRIMIDOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	9490 	Cordovez 510 	La Serena 	Coquimbo
5824 	PROPRANOLOL CLORHIDRATO 	40 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	790 	Cordovez 510 	La Serena 	Coquimbo
5825 	ROSUGRAS 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	14890 	Cordovez 510 	La Serena 	Coquimbo
5826 	DONEGAL 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	MEDIPHARM LTDA. 	Cruz Verde 	5590 	Cordovez 510 	La Serena 	Coquimbo
5827 	HIPOLIXAN 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	8390 	Cordovez 510 	La Serena 	Coquimbo
5828 	HIPOLIXAN 	10 mg 	60 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	14990 	Cordovez 510 	La Serena 	Coquimbo
5829 	QURAX 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	17990 	Cordovez 510 	La Serena 	Coquimbo
5830 	LEVOXIN 	750 mg 	10 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	14790 	Cordovez 510 	La Serena 	Coquimbo
5831 	REFLEXAN 	 5 mg 	20 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	6490 	Cordovez 510 	La Serena 	Coquimbo
5832 	CELEDOX 	200 mg 	10 CÁPSULAS 	SYNTHON CHILE LTDA. 	Cruz Verde 	9790 	Cordovez 510 	La Serena 	Coquimbo
5833 	CELEDOX 	200 mg 	30 CÁPSULAS 	SYNTHON CHILE LTDA. 	Cruz Verde 	29390 	Cordovez 510 	La Serena 	Coquimbo
5834 	ALMAXOL 	400 mg 	7 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	22990 	Cordovez 510 	La Serena 	Coquimbo
5835 	ALMAXOL 	400 mg 	10 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	27490 	Cordovez 510 	La Serena 	Coquimbo
5836 	DAKSOL 	100 mg 	28 COMPRIMIDOS 	PHARMAVITA S.A. 	Cruz Verde 	34790 	Cordovez 510 	La Serena 	Coquimbo
5837 	SEDORAN 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	9990 	Cordovez 510 	La Serena 	Coquimbo
5838 	DAKSOL 	25 mg 	28 COMPRIMIDOS 	PHARMAVITA S.A. 	Cruz Verde 	10090 	Cordovez 510 	La Serena 	Coquimbo
5839 	DAKSOL 	50 mg 	28 COMPRIMIDOS 	PHARMAVITA S.A. 	Cruz Verde 	19590 	Cordovez 510 	La Serena 	Coquimbo
5840 	LADYGEX 	s/i 	28 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	11690 	Cordovez 510 	La Serena 	Coquimbo
5841 	RIBOTEX 	600 mg 	30 COMPRIMIDOS RECUBIERTOS 	GRÜNENTHAL CHILENA LTDA. 	Cruz Verde 	121390 	Cordovez 510 	La Serena 	Coquimbo
5842 	CIPROFLOXACINO 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	ASCEND LABORATORIES S.p.A. 	Cruz Verde 	1090 	Cordovez 510 	La Serena 	Coquimbo
5843 	BIOMOOD 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	15790 	Cordovez 510 	La Serena 	Coquimbo
5844 	PLUSGIN 	150 mg 	1 CÁPSULAS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	5690 	Cordovez 510 	La Serena 	Coquimbo
5845 	PLUSGIN 	150 mg 	2 CÁPSULAS 	LABORATORIOS RAFFO S.A. 	Cruz Verde 	6780 	Cordovez 510 	La Serena 	Coquimbo
5846 	TAVIST XR 	500 mg 	30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	MINTLAB Co. S.A. 	Cruz Verde 	5490 	Cordovez 510 	La Serena 	Coquimbo
5847 	AMATO 	100 mg 	60 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	40490 	Cordovez 510 	La Serena 	Coquimbo
5848 	SOLUNA 	75 mcg 	28 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	8590 	Cordovez 510 	La Serena 	Coquimbo
5849 	SERONEX 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMAVITA S.A. 	Cruz Verde 	21490 	Cordovez 510 	La Serena 	Coquimbo
5850 	SERONEX 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMAVITA S.A. 	Cruz Verde 	16790 	Cordovez 510 	La Serena 	Coquimbo
5851 	LADYGEX-20 	s/i 	28 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	10790 	Cordovez 510 	La Serena 	Coquimbo
5852 	TRESUS 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Cruz Verde 	14190 	Cordovez 510 	La Serena 	Coquimbo
5853 	TRESUS 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Cruz Verde 	26490 	Cordovez 510 	La Serena 	Coquimbo
5854 	HIPOGLUCIN 	500 mg 	30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	LABORATORIO CHILE S.A. 	Cruz Verde 	7480 	Cordovez 510 	La Serena 	Coquimbo
5855 	HIPOGLUCIN 	500 mg 	60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	LABORATORIO CHILE S.A. 	Cruz Verde 	11580 	Cordovez 510 	La Serena 	Coquimbo
5856 	DOMPERIDONA 	10 mg 	20 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	1090 	Cordovez 510 	La Serena 	Coquimbo
5857 	BIOMOOD 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	39790 	Cordovez 510 	La Serena 	Coquimbo
5858 	LOSARTÁN POTÁSICO 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	2390 	Cordovez 510 	La Serena 	Coquimbo
5859 	CLOTROMBIX 	75 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Cruz Verde 	16390 	Cordovez 510 	La Serena 	Coquimbo
5860 	ANFIBOL 	 5 mg 	30 COMPRIMIDOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	15990 	Cordovez 510 	La Serena 	Coquimbo
5861 	METFORMINA CLORHIDRATO 	850 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	2340 	Cordovez 510 	La Serena 	Coquimbo
5862 	METFORMINA CLORHIDRATO 	850 mg 	60 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	4740 	Cordovez 510 	La Serena 	Coquimbo
5863 	ROSIMOL 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Cruz Verde 	27090 	Cordovez 510 	La Serena 	Coquimbo
5864 	BAGOMIGRAL 	 2,5 mg 	2 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	3990 	Cordovez 510 	La Serena 	Coquimbo
5865 	BAGOMIGRAL 	 2,5 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	12390 	Cordovez 510 	La Serena 	Coquimbo
5866 	XUMADOL 	1 g 	20 COMPRIMIDOS 	ITF - LABOMED FARMACÉUTICA LTDA. 	Cruz Verde 	5990 	Cordovez 510 	La Serena 	Coquimbo
5867 	TRIGILAB 50 	50 mg 	30 COMPRIMIDOS 	INTERPHARMA S.A. 	Cruz Verde 	7390 	Cordovez 510 	La Serena 	Coquimbo
5868 	OMEPRAZOL 	20 mg 	30 CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 	OPKO CHILE S.A. 	Cruz Verde 	1290 	Cordovez 510 	La Serena 	Coquimbo
5869 	OMEPRAZOL 	20 mg 	60 CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 	OPKO CHILE S.A. 	Cruz Verde 	2890 	Cordovez 510 	La Serena 	Coquimbo
5870 	LIPOTROPIC 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	10990 	Cordovez 510 	La Serena 	Coquimbo
5871 	OLANZYL 	10 mg 	28 COMPRIMIDOS RECUBIERTOS 	AXON PHARMA S.p.A. 	Cruz Verde 	33990 	Cordovez 510 	La Serena 	Coquimbo
5872 	OLANZYL 	 5 mg 	28 COMPRIMIDOS RECUBIERTOS 	AXON PHARMA S.p.A. 	Cruz Verde 	24990 	Cordovez 510 	La Serena 	Coquimbo
5873 	GLICENEX SR 	750 mg 	30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	9790 	Cordovez 510 	La Serena 	Coquimbo
5874 	LODIPRES 	6,25 mg 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	8780 	Cordovez 510 	La Serena 	Coquimbo
5875 	NEOPRESOL 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	15190 	Cordovez 510 	La Serena 	Coquimbo
5876 	QUETIAZIC 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Cruz Verde 	14890 	Cordovez 510 	La Serena 	Coquimbo
5877 	QUETIAZIC 	25 mg 	60 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Cruz Verde 	20990 	Cordovez 510 	La Serena 	Coquimbo
5878 	GLICENEX 	500 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	6090 	Cordovez 510 	La Serena 	Coquimbo
5879 	RECAXIN 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	24990 	Cordovez 510 	La Serena 	Coquimbo
5880 	CIRIAX 	500 mg 	10 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	11990 	Cordovez 510 	La Serena 	Coquimbo
5881 	ATORVASTATINA 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	2290 	Cordovez 510 	La Serena 	Coquimbo
5882 	ATORVASTATINA 	10 mg 	60 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	4740 	Cordovez 510 	La Serena 	Coquimbo
5883 	LUKANEX 	10 mg 	40 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	38290 	Cordovez 510 	La Serena 	Coquimbo
5884 	CLONAZEPAM 	 0,5 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	4190 	Cordovez 510 	La Serena 	Coquimbo
5885 	CLONAZEPAM 	 2 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	4690 	Cordovez 510 	La Serena 	Coquimbo
5886 	SERTRALINA 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	6090 	Cordovez 510 	La Serena 	Coquimbo
5887 	LOSARTÁN POTÁSICO 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	2390 	Cordovez 510 	La Serena 	Coquimbo
5888 	LOPREN 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	2990 	Cordovez 510 	La Serena 	Coquimbo
5889 	CELTIUM 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	21990 	Cordovez 510 	La Serena 	Coquimbo
5890 	CELTIUM 	10 mg 	60 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	35290 	Cordovez 510 	La Serena 	Coquimbo
5891 	ATENOLOL 	50 mg 	20 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	690 	Cordovez 510 	La Serena 	Coquimbo
5892 	DEGRALER 	 5 mg 	40 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	12540 	Cordovez 510 	La Serena 	Coquimbo
5893 	CEREVAX 	500 mg 	14 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	36990 	Cordovez 510 	La Serena 	Coquimbo
5894 	TRADOX 	50 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	26090 	Cordovez 510 	La Serena 	Coquimbo
5895 	TRADOX 	100 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	35890 	Cordovez 510 	La Serena 	Coquimbo
5896 	METROPAST 	500 mg 	10 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5990 	Cordovez 510 	La Serena 	Coquimbo
5897 	METROPAST 	500 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	8890 	Cordovez 510 	La Serena 	Coquimbo
5898 	ARTROTIN 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	47990 	Cordovez 510 	La Serena 	Coquimbo
5899 	RIPOL 	50 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	1490 	Cordovez 510 	La Serena 	Coquimbo
5900 	RIPOL 	50 mg 	5 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	5280 	Cordovez 510 	La Serena 	Coquimbo
5901 	TENSIOMAX 	 5 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	5040 	Cordovez 510 	La Serena 	Coquimbo
5902 	CORODIN 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	14990 	Cordovez 510 	La Serena 	Coquimbo
5903 	BERSEN 	20 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5590 	Cordovez 510 	La Serena 	Coquimbo
5904 	BERSEN 	 5 mg 	20 COMPRIMIDOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	4990 	Cordovez 510 	La Serena 	Coquimbo
5905 	BRONDILAT 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	27490 	Cordovez 510 	La Serena 	Coquimbo
5906 	CLAVINEX DUO 	875/125 	14 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	22590 	Cordovez 510 	La Serena 	Coquimbo
5907 	CLAVINEX DUO 	875/125 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	28990 	Cordovez 510 	La Serena 	Coquimbo
5908 	TRIOX N.F. FORTE 	550 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	3190 	Cordovez 510 	La Serena 	Coquimbo
5909 	PYRIPED FORTE 	600 mg 	20 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	3990 	Cordovez 510 	La Serena 	Coquimbo
5910 	BECTAM 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	ITF - LABOMED FARMACÉUTICA LTDA. 	Cruz Verde 	19890 	Cordovez 510 	La Serena 	Coquimbo
5911 	TRADOX 	25 mg 	30 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	18490 	Cordovez 510 	La Serena 	Coquimbo
5912 	TENSODOX 	10 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	12540 	Cordovez 510 	La Serena 	Coquimbo
5913 	TENSODOX 	10 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	14290 	Cordovez 510 	La Serena 	Coquimbo
5914 	ITAN 	10 mg 	30 COMPRIMIDOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	8990 	Cordovez 510 	La Serena 	Coquimbo
5915 	RICILINA 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	15990 	Cordovez 510 	La Serena 	Coquimbo
5916 	DARMAS 	150 mg 	31 CÁPSULAS BLANDAS 	LABORATORIO CHILE S.A. 	Cruz Verde 	24790 	Cordovez 510 	La Serena 	Coquimbo
5917 	IBAMES 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	31190 	Cordovez 510 	La Serena 	Coquimbo
5918 	DRONAVAL 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	26990 	Cordovez 510 	La Serena 	Coquimbo
5919 	DRONAVAL 	150 mg 	3 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	56290 	Cordovez 510 	La Serena 	Coquimbo
5920 	ARILEX FT 	15 mg 	30 COMPRIMIDOS DE DESINTEGRACIÓN BUCAL 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	61640 	Cordovez 510 	La Serena 	Coquimbo
5921 	ILIMIT 10 	10 mg 	30 COMPRIMIDOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	52490 	Cordovez 510 	La Serena 	Coquimbo
5922 	MICROSER 	16 mg 	30 COMPRIMIDOS 	GRÜNENTHAL CHILENA LTDA. 	Cruz Verde 	39690 	Cordovez 510 	La Serena 	Coquimbo
5923 	CARVITOL 	12,5 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	7090 	Cordovez 510 	La Serena 	Coquimbo
5924 	ACNOTIN 	20 mg 	30 CÁPSULAS BLANDAS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	47390 	Cordovez 510 	La Serena 	Coquimbo
5925 	INFLADER 	20 mg 	30 CÁPSULAS BLANDAS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	34740 	Cordovez 510 	La Serena 	Coquimbo
5926 	ACNOTIN 	10 mg 	30 CÁPSULAS BLANDAS 	LABORATORIO BAGÓ DE CHILE S.A. 	Cruz Verde 	27990 	Cordovez 510 	La Serena 	Coquimbo
5927 	PIPLEX 	10 mg 	30 CÁPSULAS BLANDAS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	30590 	Cordovez 510 	La Serena 	Coquimbo
5928 	LAFIGIN 	100 mg 	30 COMPRIMIDOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	34490 	Cordovez 510 	La Serena 	Coquimbo
5929 	LAFIGIN DT 	100 mg 	30 COMPRIMIDOS DISPERSABLES/MASTICABLES 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	29990 	Cordovez 510 	La Serena 	Coquimbo
